Square,Amps
-6.0000E+00,2.13956E-04
-5.9979E+00,2.18296E-04
-5.9959E+00,2.07011E-04
-5.9939E+00,1.89650E-04
-5.9919E+00,1.95727E-04
-5.9899E+00,1.99199E-04
-5.9879E+00,1.89650E-04
-5.9859E+00,2.02671E-04
-5.9838E+00,2.06143E-04
-5.9818E+00,2.03539E-04
-5.9798E+00,1.94859E-04
-5.9778E+00,2.06143E-04
-5.9758E+00,1.87046E-04
-5.9738E+00,1.86178E-04
-5.9717E+00,1.87914E-04
-5.9697E+00,1.93123E-04
-5.9677E+00,1.89650E-04
-5.9657E+00,2.01803E-04
-5.9637E+00,2.03539E-04
-5.9617E+00,1.98331E-04
-5.9597E+00,1.87046E-04
-5.9576E+00,2.03539E-04
-5.9556E+00,1.82706E-04
-5.9536E+00,1.90518E-04
-5.9516E+00,1.94859E-04
-5.9496E+00,1.95727E-04
-5.9476E+00,1.95727E-04
-5.9456E+00,2.15692E-04
-5.9435E+00,2.08748E-04
-5.9415E+00,2.06143E-04
-5.9395E+00,1.97463E-04
-5.9375E+00,2.12220E-04
-5.9355E+00,1.91386E-04
-5.9335E+00,1.91386E-04
-5.9315E+00,1.98331E-04
-5.9294E+00,2.08748E-04
-5.9274E+00,1.85310E-04
-5.9254E+00,2.07879E-04
-5.9234E+00,2.02671E-04
-5.9214E+00,2.08748E-04
-5.9194E+00,2.12220E-04
-5.9173E+00,2.27845E-04
-5.9153E+00,1.89650E-04
-5.9133E+00,2.01803E-04
-5.9113E+00,1.94859E-04
-5.9093E+00,2.01803E-04
-5.9073E+00,1.87046E-04
-5.9053E+00,2.05275E-04
-5.9032E+00,1.94859E-04
-5.9012E+00,1.95727E-04
-5.8992E+00,1.95727E-04
-5.8972E+00,2.18296E-04
-5.8952E+00,1.81838E-04
-5.8932E+00,1.91386E-04
-5.8912E+00,1.95727E-04
-5.8891E+00,1.92254E-04
-5.8871E+00,1.83574E-04
-5.8851E+00,2.07011E-04
-5.8831E+00,2.00935E-04
-5.8811E+00,2.04407E-04
-5.8791E+00,2.87741E-04
-5.8771E+00,2.31317E-04
-5.8750E+00,1.87046E-04
-5.8730E+00,1.95727E-04
-5.8710E+00,1.99199E-04
-5.8690E+00,1.95727E-04
-5.8670E+00,1.80102E-04
-5.8650E+00,2.09616E-04
-5.8630E+00,2.04407E-04
-5.8609E+00,2.09616E-04
-5.8589E+00,2.05275E-04
-5.8569E+00,2.14824E-04
-5.8549E+00,1.80970E-04
-5.8529E+00,1.93123E-04
-5.8509E+00,1.85310E-04
-5.8488E+00,1.92254E-04
-5.8468E+00,1.79234E-04
-5.8448E+00,2.12220E-04
-5.8428E+00,1.95727E-04
-5.8408E+00,1.98331E-04
-5.8388E+00,1.95727E-04
-5.8368E+00,2.02671E-04
-5.8347E+00,1.81838E-04
-5.8327E+00,1.92254E-04
-5.8307E+00,1.84442E-04
-5.8287E+00,1.84442E-04
-5.8267E+00,1.83574E-04
-5.8247E+00,2.07879E-04
-5.8227E+00,1.98331E-04
-5.8206E+00,1.95727E-04
-5.8186E+00,1.97463E-04
-5.8166E+00,2.02671E-04
-5.8146E+00,1.86178E-04
-5.8126E+00,1.92254E-04
-5.8106E+00,1.89650E-04
-5.8086E+00,1.91386E-04
-5.8065E+00,1.90518E-04
-5.8045E+00,2.05275E-04
-5.8025E+00,2.02671E-04
-5.8005E+00,2.07011E-04
-5.7985E+00,2.00935E-04
-5.7965E+00,2.00935E-04
-5.7944E+00,1.82706E-04
-5.7924E+00,1.95727E-04
-5.7904E+00,1.89650E-04
-5.7884E+00,1.93991E-04
-5.7864E+00,1.87914E-04
-5.7844E+00,2.72984E-04
-5.7824E+00,2.29581E-04
-5.7803E+00,2.07879E-04
-5.7783E+00,2.02671E-04
-5.7763E+00,2.01803E-04
-5.7743E+00,1.81838E-04
-5.7723E+00,1.82706E-04
-5.7703E+00,1.82706E-04
-5.7683E+00,1.82706E-04
-5.7662E+00,1.87914E-04
-5.7642E+00,2.07879E-04
-5.7622E+00,2.00067E-04
-5.7602E+00,1.92254E-04
-5.7582E+00,2.04407E-04
-5.7562E+00,1.95727E-04
-5.7542E+00,1.83574E-04
-5.7521E+00,1.87914E-04
-5.7501E+00,1.87046E-04
-5.7481E+00,1.86178E-04
-5.7461E+00,1.93991E-04
-5.7441E+00,2.09616E-04
-5.7421E+00,2.05275E-04
-5.7401E+00,1.91386E-04
-5.7380E+00,1.97463E-04
-5.7360E+00,1.91386E-04
-5.7340E+00,1.78366E-04
-5.7320E+00,1.85310E-04
-5.7300E+00,1.92254E-04
-5.7280E+00,1.93991E-04
-5.7259E+00,2.00067E-04
-5.7239E+00,2.08748E-04
-5.7219E+00,2.03539E-04
-5.7199E+00,1.99199E-04
-5.7179E+00,2.04407E-04
-5.7159E+00,1.91386E-04
-5.7139E+00,1.88782E-04
-5.7118E+00,1.82706E-04
-5.7098E+00,1.84442E-04
-5.7078E+00,1.85310E-04
-5.7058E+00,1.98331E-04
-5.7038E+00,2.00935E-04
-5.7018E+00,2.03539E-04
-5.6998E+00,1.98331E-04
-5.6977E+00,2.13088E-04
-5.6957E+00,1.94859E-04
-5.6937E+00,1.83574E-04
-5.6917E+00,2.69511E-04
-5.6897E+00,1.93123E-04
-5.6877E+00,2.00067E-04
-5.6857E+00,2.03539E-04
-5.6836E+00,2.06143E-04
-5.6816E+00,2.07011E-04
-5.6796E+00,2.00067E-04
-5.6776E+00,2.00935E-04
-5.6756E+00,1.87046E-04
-5.6736E+00,1.86178E-04
-5.6715E+00,1.93991E-04
-5.6695E+00,1.92254E-04
-5.6675E+00,1.85310E-04
-5.6655E+00,2.03539E-04
-5.6635E+00,1.94859E-04
-5.6615E+00,1.95727E-04
-5.6595E+00,1.93123E-04
-5.6574E+00,2.10484E-04
-5.6554E+00,1.88782E-04
-5.6534E+00,1.88782E-04
-5.6514E+00,1.84442E-04
-5.6494E+00,1.88782E-04
-5.6474E+00,1.76629E-04
-5.6454E+00,2.03539E-04
-5.6433E+00,2.00935E-04
-5.6413E+00,2.00935E-04
-5.6393E+00,1.97463E-04
-5.6373E+00,2.08748E-04
-5.6353E+00,1.74893E-04
-5.6333E+00,1.83574E-04
-5.6313E+00,1.88782E-04
-5.6292E+00,1.92254E-04
-5.6272E+00,1.88782E-04
-5.6252E+00,2.20032E-04
-5.6232E+00,2.06143E-04
-5.6212E+00,2.09616E-04
-5.6192E+00,1.95727E-04
-5.6172E+00,2.13088E-04
-5.6151E+00,1.80970E-04
-5.6131E+00,1.86178E-04
-5.6111E+00,1.82706E-04
-5.6091E+00,1.87046E-04
-5.6071E+00,1.77498E-04
-5.6051E+00,2.04407E-04
-5.6030E+00,1.88782E-04
-5.6010E+00,2.01803E-04
-5.5990E+00,2.79060E-04
-5.5970E+00,2.09616E-04
-5.5950E+00,1.73157E-04
-5.5930E+00,1.82706E-04
-5.5910E+00,1.79234E-04
-5.5889E+00,1.84442E-04
-5.5869E+00,1.70553E-04
-5.5849E+00,2.00067E-04
-5.5829E+00,1.98331E-04
-5.5809E+00,2.00067E-04
-5.5789E+00,1.94859E-04
-5.5769E+00,2.07879E-04
-5.5748E+00,1.77498E-04
-5.5728E+00,1.80102E-04
-5.5708E+00,1.80970E-04
-5.5688E+00,1.91386E-04
-5.5668E+00,1.83574E-04
-5.5648E+00,2.06143E-04
-5.5628E+00,1.92254E-04
-5.5607E+00,1.97463E-04
-5.5587E+00,1.98331E-04
-5.5567E+00,2.02671E-04
-5.5547E+00,1.74025E-04
-5.5527E+00,1.82706E-04
-5.5507E+00,1.81838E-04
-5.5486E+00,1.86178E-04
-5.5466E+00,1.84442E-04
-5.5446E+00,2.11352E-04
-5.5426E+00,1.95727E-04
-5.5406E+00,1.99199E-04
-5.5386E+00,2.02671E-04
-5.5366E+00,2.08748E-04
-5.5345E+00,1.81838E-04
-5.5325E+00,1.84442E-04
-5.5305E+00,1.88782E-04
-5.5285E+00,1.95727E-04
-5.5265E+00,1.93991E-04
-5.5245E+00,2.08748E-04
-5.5225E+00,2.02671E-04
-5.5204E+00,2.05275E-04
-5.5184E+00,2.04407E-04
-5.5164E+00,2.02671E-04
-5.5144E+00,1.79234E-04
-5.5124E+00,1.90518E-04
-5.5104E+00,1.90518E-04
-5.5084E+00,2.74720E-04
-5.5063E+00,2.00935E-04
-5.5043E+00,2.06143E-04
-5.5023E+00,2.09616E-04
-5.5003E+00,2.04407E-04
-5.4983E+00,2.05275E-04
-5.4963E+00,2.04407E-04
-5.4943E+00,1.86178E-04
-5.4922E+00,1.92254E-04
-5.4902E+00,1.86178E-04
-5.4882E+00,1.87046E-04
-5.4862E+00,1.90518E-04
-5.4842E+00,2.04407E-04
-5.4822E+00,2.03539E-04
-5.4801E+00,2.00935E-04
-5.4781E+00,1.94859E-04
-5.4761E+00,1.88782E-04
-5.4741E+00,1.82706E-04
-5.4721E+00,1.89650E-04
-5.4701E+00,1.88782E-04
-5.4681E+00,1.86178E-04
-5.4660E+00,1.88782E-04
-5.4640E+00,2.06143E-04
-5.4620E+00,2.06143E-04
-5.4600E+00,1.99199E-04
-5.4580E+00,2.04407E-04
-5.4560E+00,1.93123E-04
-5.4540E+00,1.85310E-04
-5.4519E+00,1.91386E-04
-5.4499E+00,1.93991E-04
-5.4479E+00,1.82706E-04
-5.4459E+00,2.00935E-04
-5.4439E+00,2.07011E-04
-5.4419E+00,2.04407E-04
-5.4399E+00,2.00067E-04
-5.4378E+00,2.00067E-04
-5.4358E+00,1.94859E-04
-5.4338E+00,1.87914E-04
-5.4318E+00,1.90518E-04
-5.4298E+00,1.88782E-04
-5.4278E+00,1.76629E-04
-5.4257E+00,1.86178E-04
-5.4237E+00,1.98331E-04
-5.4217E+00,2.01803E-04
-5.4197E+00,1.91386E-04
-5.4177E+00,2.00067E-04
-5.4157E+00,1.78366E-04
-5.4137E+00,2.61699E-04
-5.4116E+00,1.89650E-04
-5.4096E+00,1.89650E-04
-5.4076E+00,1.84442E-04
-5.4056E+00,1.98331E-04
-5.4036E+00,2.00935E-04
-5.4016E+00,2.01803E-04
-5.3996E+00,1.98331E-04
-5.3975E+00,2.12220E-04
-5.3955E+00,1.87046E-04
-5.3935E+00,1.82706E-04
-5.3915E+00,1.80970E-04
-5.3895E+00,1.87046E-04
-5.3875E+00,1.72289E-04
-5.3855E+00,1.99199E-04
-5.3834E+00,1.98331E-04
-5.3814E+00,2.01803E-04
-5.3794E+00,1.90518E-04
-5.3774E+00,2.07879E-04
-5.3754E+00,1.79234E-04
-5.3734E+00,1.91386E-04
-5.3713E+00,1.91386E-04
-5.3693E+00,1.95727E-04
-5.3673E+00,1.87914E-04
-5.3653E+00,2.10484E-04
-5.3633E+00,1.97463E-04
-5.3613E+00,1.99199E-04
-5.3593E+00,2.00935E-04
-5.3572E+00,2.15692E-04
-5.3552E+00,1.79234E-04
-5.3532E+00,1.91386E-04
-5.3512E+00,1.88782E-04
-5.3492E+00,1.93123E-04
-5.3472E+00,1.72289E-04
-5.3452E+00,2.00935E-04
-5.3431E+00,1.99199E-04
-5.3411E+00,1.94859E-04
-5.3391E+00,1.91386E-04
-5.3371E+00,2.08748E-04
-5.3351E+00,1.83574E-04
-5.3331E+00,1.86178E-04
-5.3311E+00,1.87914E-04
-5.3290E+00,1.91386E-04
-5.3270E+00,1.85310E-04
-5.3250E+00,2.12220E-04
-5.3230E+00,2.04407E-04
-5.3210E+00,2.59095E-04
-5.3190E+00,2.35657E-04
-5.3170E+00,2.12220E-04
-5.3149E+00,1.74025E-04
-5.3129E+00,1.80970E-04
-5.3109E+00,1.81838E-04
-5.3089E+00,1.77498E-04
-5.3069E+00,1.73157E-04
-5.3049E+00,2.07011E-04
-5.3028E+00,1.90518E-04
-5.3008E+00,1.85310E-04
-5.2988E+00,1.81838E-04
-5.2968E+00,1.97463E-04
-5.2948E+00,1.69685E-04
-5.2928E+00,1.86178E-04
-5.2908E+00,1.77498E-04
-5.2887E+00,1.87914E-04
-5.2867E+00,1.82706E-04
-5.2847E+00,2.05275E-04
-5.2827E+00,1.98331E-04
-5.2807E+00,2.01803E-04
-5.2787E+00,1.94859E-04
-5.2767E+00,2.05275E-04
-5.2746E+00,1.80102E-04
-5.2726E+00,1.85310E-04
-5.2706E+00,1.83574E-04
-5.2686E+00,1.89650E-04
-5.2666E+00,1.89650E-04
-5.2646E+00,2.09616E-04
-5.2626E+00,1.97463E-04
-5.2605E+00,2.04407E-04
-5.2585E+00,2.01803E-04
-5.2565E+00,2.03539E-04
-5.2545E+00,1.80102E-04
-5.2525E+00,1.91386E-04
-5.2505E+00,1.90518E-04
-5.2484E+00,1.93991E-04
-5.2464E+00,1.89650E-04
-5.2444E+00,2.07879E-04
-5.2424E+00,2.00935E-04
-5.2404E+00,1.95727E-04
-5.2384E+00,1.93123E-04
-5.2364E+00,1.94859E-04
-5.2343E+00,1.74025E-04
-5.2323E+00,1.73157E-04
-5.2303E+00,1.83574E-04
-5.2283E+00,2.67775E-04
-5.2263E+00,2.02671E-04
-5.2243E+00,2.08748E-04
-5.2223E+00,1.98331E-04
-5.2202E+00,1.98331E-04
-5.2182E+00,2.05275E-04
-5.2162E+00,1.93991E-04
-5.2142E+00,1.77498E-04
-5.2122E+00,1.81838E-04
-5.2102E+00,1.81838E-04
-5.2082E+00,1.80102E-04
-5.2061E+00,1.87046E-04
-5.2041E+00,2.06143E-04
-5.2021E+00,2.05275E-04
-5.2001E+00,1.99199E-04
-5.1981E+00,2.02671E-04
-5.1961E+00,2.00935E-04
-5.1941E+00,1.84442E-04
-5.1920E+00,1.90518E-04
-5.1900E+00,1.89650E-04
-5.1880E+00,1.84442E-04
-5.1860E+00,1.87914E-04
-5.1840E+00,2.08748E-04
-5.1820E+00,1.99199E-04
-5.1799E+00,1.93123E-04
-5.1779E+00,1.97463E-04
-5.1759E+00,1.89650E-04
-5.1739E+00,1.78366E-04
-5.1719E+00,1.89650E-04
-5.1699E+00,1.92254E-04
-5.1679E+00,1.83574E-04
-5.1658E+00,1.90518E-04
-5.1638E+00,2.00935E-04
-5.1618E+00,2.05275E-04
-5.1598E+00,2.03539E-04
-5.1578E+00,2.09616E-04
